apo	9518
categori	9381
refer	9340
quot	8674
other	8415
link	8296
thi	8190
extern	8008
two	7949
includ	7885
year	7801
first	7689
http	7418
time	7349
state	7299
name	6838
www	6804
see	6761
histori	6662
peopl	6626
part	6504
unit	6500
made	6332
known	6085
place	5973
gener	5828
call	5804
well	5660
world	5640
live	5627
follow	5615
three	5601
american	5501
earli	5473
both	5454
work	5427
origin	5402
through	5381
nation	5378
present	5378
univers	5194
found	5139
citi	5134
form	5121
make	5067
end	5040
area	5013
dai	4949
becam	4897
base	4893
number	4857
hous	4842
second	4839
high	4836
major	4832
march	4756
famili	4736
john	4709
list	4709
public	4706
line	4615
war	4612
april	4594
book	4572
same	4507
larg	4480
html	4465
juli	4445
januari	4425
life	4401
press	4388
septemb	4357
group	4342
becom	4337
develop	4324
june	4311
establish	4306
north	4306
octob	4299
featur	4296
note	4294
decemb	4285
member	4273
result	4260
long	4246
take	4240
four	4235
august	4221
februari	4193
continu	4185
locat	4174
novemb	4156
titl	4148
org	4142
south	4135
chang	4120
offici	4112
remain	4060
show	4017
home	4014
